file,mean,median,std,min,max,n_pixels,box_sum,flux_per_pixel_per_sec,mu_mag_arcsec2
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_56d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_3_cycleclean_iter3_dark_and_flat_corrected.fit,46.33474917597224,46.31459751038959,1.1244735364967415,42.42106635067794,52.72226875010211,10000,463347.4917597224,2.438671009261697,19.590473808625298
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_59d_alt33_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,46.401909315352256,46.38570115979216,1.1264082585348012,41.80616427639608,53.04081149654299,10000,464019.0931535226,2.4422057534395925,19.58890122214708
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_60d_alt54_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,31.374734650377924,31.37427811149148,0.9320801263353948,27.78278651972651,36.90500677919611,10000,313747.34650377923,1.6513018237041013,20.013790695891576
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_66d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,39.34537143465151,39.344775001263386,1.0295267406865145,35.46098737832476,45.71071463794835,10000,393453.71434651513,2.0708090228763956,19.768006725706094
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_66d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,39.22192755030781,39.22497990839102,1.0293281779535448,35.29103946171738,45.02724344327461,10000,392219.275503078,2.0643119763319895,19.771418516782223
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_70d_alt30_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,41.72243730764917,41.69388600136517,1.0687898868069214,37.59069179599329,47.74347221020896,10000,417224.37307649176,2.195917753034167,19.704316672715503
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_78d_alt27_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,43.06971726913091,43.06780682321617,1.0800280006476843,38.84039187080404,49.02370876910209,10000,430697.1726913091,2.2668272246911005,19.669810797493305
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_86d_alt25_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,39.362387314910336,39.34744565788234,1.0371829131161956,35.6716218576538,45.63949289219808,10000,393623.87314910337,2.0717045955215965,19.76753727370202
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_86d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,35.45467363901018,35.43109420261133,0.9845161985108462,32.09765932525467,41.28298752311082,10000,354546.7363901018,1.8660354546847462,19.881057119516587
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,33.71513217494389,33.71459734567982,0.9659120495998708,30.240299979495926,39.1997220237492,10000,337151.3217494389,1.7744806407865203,19.935678683114894
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,33.639238918144294,33.62016000873795,0.9719653071148056,29.94197991383444,39.65429170396592,10000,336392.3891814429,1.7704862588496995,19.93812544611303
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_3_cycleclean_iter3_dark_and_flat_corrected.fit,34.07252813516334,34.06448497206644,0.9880403469257304,30.351577221898243,40.32349258820047,10000,340725.28135163337,1.7932909544822808,19.924229952559564
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_4_cycleclean_iter3_dark_and_flat_corrected.fit,33.98876725457819,33.97859159715302,0.9748607587097646,29.883136317188097,40.163357980336265,10000,339887.67254578194,1.7888824870830629,19.926902316227782
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_5_cycleclean_iter3_dark_and_flat_corrected.fit,33.999985631473464,33.98827703301285,0.9862599704847548,30.049304198732127,39.72771535348518,10000,339999.8563147347,1.7894729279722879,19.926544015845813
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_6_cycleclean_iter3_dark_and_flat_corrected.fit,34.12454056531502,34.111774133410904,0.9998468538121444,30.785669411784127,40.57459089966553,10000,341245.4056531502,1.7960284508060538,19.922573817170207
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_7_cycleclean_iter3_dark_and_flat_corrected.fit,43.102409144969705,43.09361934779413,1.0807116811967898,39.07224101010421,49.97077180301245,10000,431024.091449697,2.2685478497352474,19.668986986909083
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_107d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,28.147342656293773,28.12849106711846,0.9046035656333872,24.778762341589413,34.17217574699459,10000,281473.42656293773,1.4814390871733565,20.131647349354
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_107d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,28.021626890179952,28.00681658637429,0.8785015933658398,24.642547977317733,32.87453966037066,10000,280216.2689017995,1.474822467904208,20.136507484328877
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_110d_alt24_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,37.244253126201095,37.22861289134947,1.0091345715175588,33.4676139809242,43.139086086043854,10000,372442.5312620109,1.960223848747426,19.82759267557057
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_110d_alt24_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,37.40235919507025,37.39968669489394,1.0268306758504413,33.50242332866976,43.75211795342451,10000,374023.5919507025,1.9685452207931708,19.8229933579451
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_110d_alt24_r_2025_10_07_2x2_exp00.00.20.000_000001_High_3_cycleclean_iter3_dark_and_flat_corrected.fit,37.33663316885067,37.34546522801136,1.018148329540422,33.37671655131807,43.7011680775059,10000,373366.33168850665,1.965085956255298,19.824902967438092
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_110d_alt24_r_2025_10_07_2x2_exp00.00.20.000_000001_High_4_cycleclean_iter3_dark_and_flat_corrected.fit,37.34122877085842,37.33069008341733,1.008766101593744,33.57537987722158,43.45654891457647,10000,373412.2877085842,1.9653278300451802,19.824769337166437
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_114d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,27.436491308994253,27.41863958163007,0.8921384091928779,24.324536406179917,32.80480530489065,10000,274364.91308994254,1.4440258583681187,20.159419421548595
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_121d_alt25_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,38.75502396818534,38.73860867559094,1.0277442258404008,34.203685504468616,44.62870566406966,10000,387550.2396818534,2.039738103588702,19.78442082507511
