ID,x_init,y_init,x_refined,y_refined,best_radius,max_snr,instr_mag,known_mag,ZP
42,782,939,781.7998955886839,939.3197851390227,4.5,25.432147596413955,-6.617171096826377,16.85595373,23.47312482682638
30,798,1159,798.5501963571425,1157.7784187080617,2.5,3.5153148969789694,-3.603135172939415,20.27367874,23.876813912939415
43,796,799,794.9909316372626,798.5505045338797,3.5,6.1005926513258135,-4.532355874703472,19.44863022,23.98098609470347
74,1159,555,1157.298960416066,554.0968539920572,3.5,9.289853721066716,-5.0365785440409745,18.9722504,24.008828944040975
75,1148,427,1145.978451794164,424.5496425858473,3.5,8.041061358841679,-4.858890080330632,19.26900485,24.127894930330633
76,1148,374,1152.1164484816507,375.4942125297041,11.0,1.129775706512512,-3.8634660907881635,20.54200745,24.405473540788165
63,1572,650,1574.018597565797,653.6272458360603,10.0,1.3559375311323631,-3.9695585618325357,20.12530152,24.094860081832536
48,1774,627,1776.6672359481863,631.0355700786121,12.0,2.7822758306136453,-4.926369899758542,19.34420187,24.27057176975854
79,1398,455,1395.39022568464,452.3805371415706,3.5,2.0576411997632356,-3.279365402441167,21.26000711,24.53937251244117
65,1588,455,1588.0,455.0,6.5,6.633958932483525,-5.281639893872697,18.82689551,24.108535403872697
61,1455,1109,1453.8428677645668,1106.6195880478635,4.0,14.110652647906539,-5.689720744791101,18.04630152,23.736022264791103
28,1699,1079,1697.5268954264507,1075.5461638918557,3.5,8.436312084374077,-4.913835972600377,18.94614331,23.859979282600378
89,897,1494,898.7883426260998,1493.7591361159623,4.5,31.709148285844066,-6.922407102875946,16.50647947,23.428886572875946
2,1160,1750,1163.4301399753722,1747.9883730754957,3.0,4.290935671437535,-3.9885665734891007,20.06673504,24.055301613489103
4,1550,1678,1550.0,1678.0,9.5,16.58934282367352,-6.725882328546849,16.75313846,23.479020788546848
70,578,1469,580.0595378464095,1469.7550497219652,4.0,19.34126781257162,-6.1002411969876755,17.43787124,23.538112436987674
54,325,1338,327.5661563164565,1339.6486337545848,4.5,35.434179699010244,-7.079860088309994,16.28008283,23.359942918309997
18,1116,1322,1116.8801364374642,1321.4680981697998,6.5,11.90609327733259,-5.970172977535504,18.89977387,24.869946847535505
62,1663,750,1661.7339149966592,747.8367532775818,6.5,80.12441029348068,-8.564979073736906,14.63825299,23.203232063736905
82,1952,703,1952.0,703.0,9.5,49.69713901124266,-8.09876739666023,15.24738693,23.34615432666023
80,1895,926,1895.0,926.0,7.0,8.601038511034206,-5.617320130182422,18.28801941,23.90533954018242
13,184,1464,187.21695385114467,1464.4989479503442,4.5,42.75766588668244,-7.357377007424681,15.96619217,23.32356917742468
12,162,1514,164.83322925987173,1514.9647941362243,4.5,24.56451389459081,-6.550189639637498,16.9890097,23.5391993396375
