file,RA_used,DEC_used,alt_excel,alt_computed,alt_diff,sep_excel,sep_computed,sep_diff,mu_mag_arcsec2,airmass,mu_mag_arcsec2_corrected
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_53d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,2:11:21,62:20:52,35.0,34.82587929463272,-0.1741207053672795,53,52.54604613876378,-0.4539538612362221,20.913935726779158,1.7510546441974866,20.56372479793966
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_56d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,22:13:26,-22:05:47,35.0,33.84219549004244,-1.1578045099575576,56,56.40719955593363,0.4071995559336301,21.007784917699855,1.7956305164223967,20.648658814415377
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_56d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,22:13:26,-22:05:47,35.0,33.86174071008687,-1.1382592899131296,56,56.40719955593363,0.4071995559336301,21.01087109497798,1.794717539159462,20.651927587146087
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_56d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_3_cycleclean_iter3_dark_and_flat_corrected.fit,22:13:26,-22:05:47,35.0,33.87571171352732,-1.1242882864726766,56,56.416169780615945,0.4161697806159452,21.008834752525132,1.7940656359499418,20.650021625335143
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_59d_alt33_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,2:40:22,68:03:50,33.0,32.8582802346218,-0.1417197653781983,59,58.93378310394282,-0.0662168960571776,21.007262166046914,1.8431041413593274,20.63864133777505
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_60d_alt54_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,23:50:02,68:01:48,50.0,53.05897715754104,3.0589771575410367,60,58.8904201147632,-1.1095798852367975,21.432151639791407,1.2511658324511368,21.18191847330118
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_66d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,2:38:09,75:31:00,35.0,33.96213373871274,-1.0378662612872631,66,65.74379139665776,-0.2562086033422446,21.18636766960593,1.7900459476660955,20.82835848007271
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_66d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,2:38:09,75:31:00,35.0,34.05145479995095,-0.9485452000490469,66,65.73780732013958,-0.2621926798604193,21.189779460682054,1.785914564003441,20.832596547881366
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_70d_alt30_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,21:13:17,-27:37:10,30.0,28.50565250351732,-1.494347496482682,70,71.02867846953627,1.028678469536274,21.122677616615334,2.095357817167854,20.703606053181762
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_78d_alt27_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,5:38:01,78:21:30,27.0,26.39295075148493,-0.607049248515068,78,74.47479501334114,-3.5252049866588635,21.08817174139314,2.2495923925927355,20.638253262874592
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_86d_alt25_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,10:36:01,80:29:40,25.0,24.696034792238013,-0.303965207761987,86,86.53656343050466,0.5365634305046569,21.185898217601853,2.3934656550609374,20.707205086589667
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_86d_alt35_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,19:46:34,-23:08:14,,27.48882035760121,,86,88.25349205911812,2.253492059118116,21.299418063416418,2.166492667152091,20.866119529986
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_1_cycleclean_iter3_dark_and_flat_corrected.fit,14:19:54,67:46:56,28.0,26.380825058310908,-1.6191749416890922,100,100.74274678453942,0.7427467845394204,21.354039627014725,2.2505522229243224,20.90392918242986
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_2_cycleclean_iter3_dark_and_flat_corrected.fit,14:19:54,67:46:56,28.0,26.29908850370251,-1.7009114962974898,100,100.7382713582558,0.7382713582557869,21.35648639001286,2.2570462952733346,20.905077130958194
C:\Users\AYSAN\Desktop\project\INO\ETC\Data\data 2\Rezaei_Altafi_10_07_2025\background_Moon\high\hot pixels removed\reduced\background_100d_alt28_r_2025_10_07_2x2_exp00.00.20.000_000001_High_3_cycleclean_iter3_dark_and_flat_corrected.fit,14:19:54,67:46:56,28.0,26.15808535026165,-1.8419146497383492,100,100.72931825936716,0.7293182593671474,21.342590896459395,2.2683486043089265,20.88892117559761
