source_id,ra,dec,G,BP,RP,ra,dec,g_ps,r_ps,i_ps
3257402600009697664,58.3711160341604,-0.08494693093170022,19.897774,20.526384,19.129265,58.37111691921086,-0.08494330403078595,20.865800857543945,19.880800247192383,19.443500518798828
3257402634369432064,58.34965653248181,-0.08839334572704557,20.891155,20.57523,20.110136,58.34965265135768,-0.08839421263632356,22.197900772094727,20.984399795532227,20.29669952392578
3257402668729175040,58.366438445110596,-0.08365322597731266,21.212368,20.794952,18.84301,58.366399855409774,-0.08365562266929034,21.061399459838867,19.804500579833984,19.36440086364746
3257402668729177984,58.35549893757322,-0.07930925956299859,19.249474,20.216438,18.165571,58.355494541192826,-0.07931184585051645,20.998699188232422,19.502199172973633,18.605199813842773
3257403012326562432,58.38826448066527,-0.07778615690981175,17.810999,18.8955,16.806576,58.388258287147984,-0.07778328220986155,19.373699188232422,17.938899993896484,17.2185001373291
3257403046686302848,58.37485216633661,-0.07396006647724992,20.7092,21.009968,19.605057,58.37484665605139,-0.07395569541493618,21.26099967956543,20.706600189208984,20.39739990234375
3257403050983114624,58.371841631755544,-0.07316349630399957,15.769216,16.266184,15.107809,58.3718417098741,-0.07315653336263678,16.37660026550293,15.74370002746582,15.479499816894531
3257403360219410816,58.30626704195128,-0.08435495449063844,20.58324,20.897408,19.379663,58.3062611747778,-0.08435089161150464,21.95800018310547,20.908599853515625,19.878000259399414
3257403394580502272,58.336910637471775,-0.08114676428037451,18.306505,18.89067,17.568436,58.336907879478225,-0.08114665279589446,19.01300048828125,18.303600311279297,17.94969940185547
3257403424643429760,58.348149987642195,-0.06752164818148297,19.537203,20.208408,18.803446,58.348146535482925,-0.06751191420135202,20.300199508666992,19.531099319458008,19.19029998779297
3257403562083086976,58.30507088038547,-0.06610609081093755,21.10767,20.206848,19.901072,58.30507230140887,-0.06609620392391335,,21.8075008392334,20.371700286865234
3257403665161598848,58.312893269225505,-0.0671898841615092,19.785042,20.924385,18.593332,58.31287785983562,-0.0671770166862786,21.41360092163086,20.234500885009766,19.083999633789062
3257403669458408064,58.31990203472302,-0.061405189952481454,16.090246,16.53486,15.470655,58.31990459271232,-0.061403166225231,16.623199462890625,16.07069969177246,15.83650016784668
3257403669458408576,58.31714014715336,-0.06280217999899311,17.461708,18.561983,16.429668,58.317135094931544,-0.06279739927884187,19.049100875854492,17.63159942626953,16.851200103759766
3257403669458409600,58.3096881999995,-0.06400724379377541,18.352697,18.86448,17.700298,58.309686747135544,-0.0640007704829913,18.92889976501465,18.340299606323242,18.062299728393555
3257403703818144640,58.326399885366286,-0.05320682503254859,16.448906,16.947945,15.781449,58.326402616011464,-0.05320270212404686,17.06060028076172,16.431499481201172,16.147899627685547
3257403733881085184,58.29553441384433,-0.05490570163648801,20.35508,21.283892,19.25421,58.29553281110554,-0.05489798694358522,21.593399047851562,20.989200592041016,19.618200302124023
3257403768240830080,58.313019376746546,-0.04689803732856542,20.182608,21.061356,18.868698,58.31300647335187,-0.0469093729944916,22.037900924682617,21.012399673461914,19.410600662231445
3257403768241508224,58.3219261968577,-0.04811873134145492,20.380913,20.957962,19.211716,58.3219189258759,-0.0481135114909552,21.856000900268555,20.621000289916992,19.600400924682617
3257403772536425984,58.32022093801184,-0.05126974922924895,20.694817,20.176954,19.86891,58.32021243773436,-0.05125817233472445,,20.375499725341797,19.946500778198242
3257403772537621632,58.32012679194829,-0.04973330127656815,13.764055,14.435496,12.968046,58.320127528684765,-0.04973253865501839,14.647700309753418,13.765700340270996,13.36400032043457
3257403802601263104,58.35997059199656,-0.07184994694169825,20.90318,21.147442,19.646578,58.359943688918975,-0.07183273564093762,,22.02829933166504,20.16390037536621
3257403841255399296,58.370719128406414,-0.05129311684104411,19.858023,20.672176,19.008308,58.3707172040434,-0.051291027535022085,20.859100341796875,19.86359977722168,19.35810089111328
3257403905679791872,58.358903175495115,-0.038524138343730835,19.786175,21.094587,18.584263,58.35889328110186,-0.03851242062144021,21.632299423217773,20.433300018310547,19.048200607299805
3257403909976572800,58.36113784260493,-0.040979706263202534,14.998298,15.485386,14.340382,58.36113988097352,-0.040981297688731017,15.603599548339844,14.983499526977539,14.714599609375
3257403940039520768,58.37858581053317,-0.04801625741044358,18.945345,20.123676,17.871164,58.37859039341006,-0.048020004319198284,20.70829963684082,19.181800842285156,18.29759979248047
3257403940039526016,58.377053466714884,-0.042959157448055646,19.006168,20.231821,17.925097,58.37703239044965,-0.042949747721172056,20.711700439453125,19.30459976196289,18.349599838256836
3257403940039529472,58.383513473850414,-0.039431686289049785,19.15871,19.64811,18.548708,58.38349367686016,-0.03942003560103608,19.695100784301758,19.15679931640625,18.875900268554688
3257404043118755328,58.38186443830431,-0.02661824848491524,19.15334,20.531757,18.041138,58.381871017954154,-0.026620049059369235,20.907499313354492,19.471900939941406,18.48740005493164
3257404047414057984,58.38522690247075,-0.02429267781490486,20.634825,21.639112,19.354153,58.38522974028098,-0.02429228392506427,22.021699905395508,21.06170082092285,19.904600143432617
3257404077478478336,58.339933152216574,-0.04407159001558677,20.721827,21.148216,19.951696,58.33993477893756,-0.04407257951676849,21.38129997253418,20.750600814819336,20.465200424194336
3257404150494742784,58.31836661279224,-0.03959503976479914,17.895014,18.267683,16.915337,58.318354936232055,-0.039585653972123144,18.402799606323242,17.638900756835938,17.296499252319336
3257404180557708928,58.33499599398381,-0.026436297434623217,20.591976,20.931541,19.635113,58.33499314083529,-0.02643791367683598,21.492300033569336,20.56599998474121,20.109800338745117
3257404214917448704,58.35497506226629,-0.025488380367965618,19.56565,20.098707,18.952917,58.35496765943175,-0.025485616585756845,20.137300491333008,19.54759979248047,19.29129981994629
3257404287933694592,58.347201418607405,-0.026687220401469012,17.015614,17.4993,16.350483,58.34719658232238,-0.02668858828190008,17.61549949645996,17.003299713134766,16.719200134277344
