source_id,ra,dec,G,BP,RP,g_snr,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,ra,dec,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,g_ps,e_g_ps,r_ps,e_r_ps,i_ps,e_i_ps
3257402600009697664,58.3711160341604,-0.08494693093170022,19.897774,20.526384,19.129265,292.30933,PSO J058.3711-00.0849,-999,-999,-999,107890583711188559,3510245000040966,365853904248840,0,9453995150430,10789,1,1247,99,0.968069083027606,3510245,85182,3,436527104,52,58.37109714,-0.08489782,0.0010000000474974513,0.0010000000474974513,58.37111691921086,-0.08494330403078595,0.0024359372910112143,0.0024000434204936028,56327.45794444853,4.581579208374023,0.5244146227461437,0.8514617463666772,-0.001482539789774228,56.10679014139762,-19.880058935556622,188.89206190064786,-38.634298641185566,,5,90,15,19,28,12,16,0.9992570281028748,20.865800857543945,0.03632400184869766,0.11729799956083298,13,20.713899612426758,21.092300415039062,20.984699249267578,0.07196400314569473,0.23276300728321075,13,20.935699462890625,0.0811690017580986,0.23008400201797485,13,115000,0.9992660284042358,19.880800247192383,0.007571999914944172,0.033906999975442886,19,19.820199966430664,19.938400268554688,20.039499282836914,0.008438999764621258,0.05099799856543541,19,19.896799087524414,0.015876999124884605,0.06404999643564224,19,115000,0.9996129870414734,19.443500518798828,0.006603999994695187,0.036299001425504684,28,19.34480094909668,19.496599197387695,19.534400939941406,0.014630000106990337,0.07790099829435349,28,19.435800552368164,0.011969000101089478,0.06655299663543701,28,115000,0.9997239708900452,19.205900192260742,0.01092700008302927,0.050560999661684036,12,19.15760040283203,19.295299530029297,19.296600341796875,0.027986999601125717,0.13183599710464478,12,19.179100036621094,0.019673999398946762,0.07746399939060211,12,115000,0.9995909929275513,19.073400497436523,0.025265000760555267,0.08450499922037125,13,18.94580078125,19.252899169921875,19.15169906616211,0.03923099860548973,0.13562999665737152,13,19.01180076599121,0.029839999973773956,0.24208499491214752,13,115000,0.0777673985525003,20.865800857543945,0.03632400184869766,19.880800247192383,0.007571999914944172,19.443500518798828,0.006603999994695187
3257402634369432064,58.34965653248181,-0.08839334572704557,20.891155,20.57523,20.110136,67.97241,PSO J058.3497-00.0884,-999,-999,-999,107890583496774385,3510245000037655,365853904245529,0,9453995086863,10789,1,1247,99,0.872058734178598,3510245,85182,3,436527232,52,58.34962858,-0.08834755,0.0010000000474974513,0.0010000000474974513,58.34965265135768,-0.08839421263632356,0.005587685387581587,0.005587685387581587,56337.27836382848,3.7895045280456543,0.5247335145595154,0.8512651517362139,-0.001542769438210592,56.08372363923823,-19.878658963463224,188.8796407682006,-38.65375075545239,,5,71,2,21,21,14,13,0.9975799918174744,22.197900772094727,0.06428100168704987,0.09360600262880325,2,22.14940071105957,22.277999877929688,22.226200103759766,0.16805399954319,0.2677049934864044,2,22.064899444580078,0.23518900573253632,0.35037800669670105,2,114992,0.9997299909591675,20.984399795532227,0.03261300176382065,0.20582500100135803,18,20.595300674438477,21.43280029296875,20.838699340820312,0.05631000176072121,0.5556290149688721,17,20.745500564575195,0.06666699796915054,0.2101600021123886,18,115000,0.9992460012435913,20.29669952392578,0.011978000402450562,0.041648998856544495,18,20.233200073242188,20.36590003967285,20.417699813842773,0.03470800071954727,0.17334899306297302,18,20.32979965209961,0.024437999352812767,0.1605439931154251,18,115000,0.9996140003204346,19.827899932861328,0.0214649997651577,0.0969650000333786,12,19.640100479125977,20.01409912109375,20.03179931640625,0.041788000613451004,0.17550699412822723,12,19.99650001525879,0.0519150011241436,0.15502500534057617,12,115000,0.999642014503479,19.535499572753906,0.05209999904036522,0.24879099428653717,12,19.049999237060547,19.929399490356445,19.502300262451172,0.08655700087547302,0.4380509853363037,12,19.53820037841797,0.10787700116634369,0.4221319854259491,12,115000,0.07483251098140402,22.197900772094727,0.06428100168704987,20.984399795532227,0.03261300176382065,20.29669952392578,0.011978000402450562
3257402668729175040,58.366438445110596,-0.08365322597731266,21.212368,20.794952,18.84301,33.39924,PSO J058.3664-00.0837,-999,-999,-999,107900583663660090,3510245000040188,365853904248062,0,9453995266897,10790,1,1247,99,0.0350035336194593,3510245,85182,3,512024576,61,58.36639162,-0.08361246,0.0010000000474974513,0.0010000000474974513,58.366399855409774,-0.08365562266929034,0.0021997124422341585,0.0021997124422341585,56376.601310969396,15.355019569396973,0.5244847377050003,0.8514185974731534,-0.001460065534625443,56.10220558414973,-19.877754157133264,188.8872019847551,-38.63737900747844,,5,93,14,19,30,14,16,0.9989879727363586,21.061399459838867,0.07928600162267685,0.2455569952726364,13,20.767099380493164,21.438600540161133,20.744699478149414,0.04651600122451782,0.17393499612808228,13,20.595300674438477,0.05972899869084358,0.1900469958782196,13,16892216,0.9993939995765686,19.804500579833984,0.02757599949836731,0.10086800158023834,17,19.690099716186523,19.997499465942383,19.32110023498535,0.02131599932909012,0.111176997423172,19,19.25819969177246,0.015557000413537025,0.0792360007762909,19,16892216,0.9994969964027405,19.36440086364746,0.020454000681638718,0.0885469987988472,24,19.268199920654297,19.52359962463379,18.74370002746582,0.010781999677419662,0.07176300138235092,28,18.771299362182617,0.013075999915599823,0.06509499996900558,28,16892216,0.9996880292892456,18.985200881958008,0.029488999396562576,0.12339500337839127,11,18.746200561523438,19.196199417114258,18.43429946899414,0.0142000000923872,0.05410100147128105,14,18.398700714111328,0.017159000039100647,0.07147300243377686,14,16892216,0.9995419979095459,18.835800170898438,0.044870998710393906,0.1600860059261322,15,18.552099227905273,19.07819938659668,18.191099166870117,0.027840999886393547,0.11684300005435944,16,18.191699981689453,0.03455299884080887,0.1279439926147461,16,16892216,0.07470479423141252,21.061399459838867,0.07928600162267685,19.804500579833984,0.02757599949836731,19.36440086364746,0.020454000681638718
3257402668729177984,58.35549893757322,-0.07930925956299859,19.249474,20.216438,18.165571,428.0655,PSO J058.3555-00.0793,-999,-999,-999,107900583554855310,3510245000038505,365853904246379,0,9453995253414,10790,1,1247,99,0.966947485662016,3510245,85182,3,503635968,60,58.35547203,-0.07926641,0.0010000000474974513,0.0010000000474974513,58.355494541192826,-0.07931184585051645,0.0017395479371771216,0.0016950414283201098,56119.72334212996,2.372087001800537,0.5246468383704617,0.8513188467508288,-0.0013842524038517043,56.09192628066212,-19.871097526315065,188.8745468842957,-38.64370806807433,,5,86,14,19,21,13,19,0.9997439980506897,20.998699188232422,0.04172699898481369,0.07662499696016312,14,20.87649917602539,21.122499465942383,20.9862003326416,0.06428699940443039,0.23534299433231354,14,20.950000762939453,0.04218300059437752,0.14834299683570862,14,115000,0.9993389844894409,19.502199172973633,0.008763999678194523,0.03367200121283531,18,19.457599639892578,19.588300704956055,19.63330078125,0.016898000612854958,0.07195200026035309,18,19.528099060058594,0.017650000751018524,0.06690900027751923,18,115000,0.9996100068092346,18.605199813842773,0.007586999796330929,0.029680000618100166,19,18.53499984741211,18.63949966430664,18.70479965209961,0.014777000062167645,0.06365899741649628,19,18.606599807739258,0.010580999776721,0.04503900185227394,19,115000,0.9997090101242065,18.1294002532959,0.006014000158756971,0.018358999863266945,11,18.082799911499023,18.149700164794922,18.203800201416016,0.010881000198423862,0.04555699974298477,11,18.096500396728516,0.007646000012755394,0.03228599950671196,11,115000,0.9997529983520508,17.877500534057617,0.006984999869018793,0.05483400076627731,17,17.793800354003906,18.05769920349121,17.998899459838867,0.02064500004053116,0.09968499839305878,18,17.87689971923828,0.01752300001680851,0.09204699844121933,18,115000,0.06711970611232584,20.998699188232422,0.04172699898481369,19.502199172973633,0.008763999678194523,18.605199813842773,0.007586999796330929
3257403012326562432,58.38826448066527,-0.07778615690981175,17.810999,18.8955,16.806576,1029.2063,PSO J058.3883-00.0778,-999,-999,-999,107900583882477149,3510245000043468,365853904251342,0,9453995582821,10790,1,1247,99,0.56956135348376,3510245,85182,3,503635968,60,58.38824316,-0.07773459,0.0010000000474974513,0.0010000000474974513,58.388258287147984,-0.07778328220986155,0.0005650402163155377,0.0005613048560917377,56381.13085245482,24.633533477783203,0.5241599576700535,0.8516187502446557,-0.0013575739605666038,56.12625482647903,-19.87687880664588,188.8973954809107,-38.61619283847518,,10,88,11,21,26,12,18,0.9994670152664185,19.373699188232422,0.023912999778985977,0.05612799897789955,10,19.272499084472656,19.425800323486328,19.447999954223633,0.0330439992249012,0.07272200286388397,11,19.35759925842285,0.03778399899601936,0.06886400282382965,11,115000,0.9997130036354065,17.938899993896484,0.004356000106781721,0.015324999578297138,19,17.90570068359375,17.963499069213867,18.020200729370117,0.007356999907642603,0.03153900057077408,20,17.934600830078125,0.0050490000285208225,0.018092000856995583,20,115000,0.9996219873428345,17.2185001373291,0.0035830000415444374,0.0182499997317791,25,17.185100555419922,17.25040054321289,17.291200637817383,0.004269999917596579,0.017875999212265015,26,17.21540069580078,0.002372999908402562,0.01155600044876337,26,115000,0.9998469948768616,16.833799362182617,0.002940000034868717,0.01921200007200241,11,16.78019905090332,16.847999572753906,16.899999618530273,0.007660000119358301,0.022789999842643738,12,16.831300735473633,0.005537999793887138,0.021284999325871468,12,115000,0.9990580081939697,16.59819984436035,0.006186000071465969,0.03339599817991257,17,16.550600051879883,16.68470001220703,16.687999725341797,0.0068419999442994595,0.03287399932742119,18,16.608299255371094,0.006130000110715628,0.02776000089943409,18,115000,0.08066470368355609,19.373699188232422,0.023912999778985977,17.938899993896484,0.004356000106781721,17.2185001373291,0.0035830000415444374
3257403046686302848,58.37485216633661,-0.07396006647724992,20.7092,21.009968,19.605057,106.60265,PSO J058.3749-00.0740,-999,-999,-999,107910583748501719,3510245000041541,365853904249415,0,9453995605027,10791,1,1247,99,0.877826162500145,3510245,85182,3,436527104,52,58.37482864,-0.07391094,0.0010000000474974513,0.0010000000474974513,58.37484665605139,-0.07395569541493618,0.004907103255391121,0.004907103255391121,56317.809713806484,2.7240588665008545,0.5243593341581636,0.8514961083844979,-0.001290770027169858,56.113255397616314,-19.87017313376724,188.88341593181732,-38.624860528299855,,5,74,12,19,28,9,6,0.9998679757118225,21.26099967956543,0.03881999850273132,0.0700099989771843,10,21.171600341796875,21.398000717163086,20.754899978637695,0.15661999583244324,0.4562479853630066,9,20.875900268554688,0.09255900233983994,0.282166987657547,10,115000,0.9997050166130066,20.706600189208984,0.03366599977016449,0.13726699352264404,17,20.4867000579834,20.951200485229492,20.7106990814209,0.05640200152993202,0.3011839985847473,17,20.64240074157715,0.05481300130486488,0.23359699547290802,17,115000,0.999638020992279,20.39739990234375,0.013036999851465225,0.08119899779558182,28,20.219100952148438,20.53820037841797,20.516199111938477,0.03136000037193298,0.14935000240802765,28,20.41699981689453,0.02629699930548668,0.15539099276065826,28,115000,0.999646008014679,20.14579963684082,0.05221499875187874,0.16251200437545776,8,19.97719955444336,20.487499237060547,20.16069984436035,0.07534000277519226,0.22558699548244476,8,20.06719970703125,0.06745699793100357,0.20869000256061554,8,115000,0.9987819790840149,19.948699951171875,0.13323399424552917,0.2538129985332489,5,19.73859977722168,20.39859962463379,20.085100173950195,0.15914499759674072,0.47711700201034546,5,20.53499984741211,0.2873699963092804,0.686083972454071,5,115000,0.06983706201314516,21.26099967956543,0.03881999850273132,20.706600189208984,0.03366599977016449,20.39739990234375,0.013036999851465225
3257403050983114624,58.371841631755544,-0.07316349630399957,15.769216,16.266184,15.107809,3163.1409,PSO J058.3718-00.0732,-999,-999,-999,107910583718372697,3510245000041073,365853904248947,0,9453995593433,10791,1,1247,99,0.443623536679543,3510245,85182,3,503635968,60,58.37182355,-0.07310919,0.0010000000474974513,0.0010000000474974513,58.3718417098741,-0.07315653336263678,0.0001912000880111009,0.00018878799164667726,56308.26550247255,149.93948364257812,0.5244040005663348,0.8514686218032513,-0.0012768220295944377,56.110321276460176,-19.86872779654769,188.88034067774953,-38.62684333604214,,5,95,12,22,28,12,21,0.999243974685669,16.37660026550293,0.003792000003159046,0.009631999768316746,7,16.358600616455078,16.385000228881836,16.441699981689453,0.0074629997834563255,0.013272999785840511,9,16.372100830078125,0.0019069999689236283,0.008066000416874886,9,115000,0.999705970287323,15.74370002746582,0.003103999886661768,0.010125000029802322,13,15.730899810791016,15.761899948120117,15.816200256347656,0.0016080000204965472,0.006688000168651342,18,15.749699592590332,0.0019660000689327717,0.008682000450789928,18,115000,0.9996389746665955,15.479499816894531,0.002386000007390976,0.011853000149130821,23,15.461099624633789,15.503899574279785,15.533300399780273,0.001623000018298626,0.008236000314354897,28,15.471799850463867,0.0016070000128820539,0.008484000340104103,28,115000,0.9992619752883911,15.340800285339355,0.002073999959975481,0.009700999595224857,11,15.329400062561035,15.361499786376953,15.407500267028809,0.0021019999403506517,0.006440000142902136,12,15.344200134277344,0.0012009999481961131,0.004596000071614981,12,115000,0.9996870160102844,15.24940013885498,0.0030620000325143337,0.016798999160528183,14,15.218299865722656,15.273599624633789,15.29259967803955,0.003955000080168247,0.01958799920976162,18,15.252400398254395,0.004370999988168478,0.019850000739097595,18,115000,0.06761884690407999,16.37660026550293,0.003792000003159046,15.74370002746582,0.003103999886661768,15.479499816894531,0.002386000007390976
3257403360219410816,58.30626704195128,-0.08435495449063844,20.58324,20.897408,19.379663,140.74704,PSO J058.3063-00.0844,-999,-999,-999,107890583062329253,3510245000030752,365853904238626,0,9453864147578,10789,1,1247,99,0.0832242957160103,3510245,85182,3,436527104,52,58.30623243,-0.08430684,0.0010000000474974513,0.0010000000474974513,58.3062611747778,-0.08435089161150464,0.003463050816208124,0.0034580787178128958,56307.55188410884,3.411853551864624,0.5253781035545139,0.850867604819854,-0.0014722002538117788,56.03969192594784,-19.865082313167864,188.843043882391,-38.6866547426215,,5,83,3,21,30,15,14,0.9989240169525146,21.95800018310547,0.060079000890254974,0.2849090099334717,3,21.903900146484375,22.351600646972656,22.054000854492188,0.239873006939888,0.441336989402771,3,22.037099838256836,0.22984899580478668,0.4293479919433594,3,115000,0.9993500113487244,20.908599853515625,0.030598999932408333,0.09347300231456757,19,20.77359962463379,21.06170082092285,20.957599639892578,0.03427499905228615,0.16772300004959106,19,20.864099502563477,0.0399480015039444,0.18465100228786469,19,115000,0.9996820092201233,19.878000259399414,0.009132999926805496,0.057670000940561295,27,19.742399215698242,19.984399795532227,19.980600357055664,0.017777999863028526,0.09697099775075912,27,19.88920021057129,0.012749000452458858,0.07772199809551239,27,115000,0.9991059899330139,19.322200775146484,0.012369000352919102,0.05991499871015549,14,19.22330093383789,19.416799545288086,19.43269920349121,0.03164299950003624,0.19178199768066406,14,19.380599975585938,0.034876998513936996,0.2411939948797226,14,115000,0.9994120001792908,19.021099090576172,0.02402999997138977,0.08482299745082855,12,18.909799575805664,19.167600631713867,19.02790069580078,0.056439999490976334,0.22662000358104706,12,18.927099227905273,0.03647100180387497,0.1273069977760315,12,115000,0.0769340421342506,21.95800018310547,0.060079000890254974,20.908599853515625,0.030598999932408333,19.878000259399414,0.009132999926805496
3257403394580502272,58.336910637471775,-0.08114676428037451,18.306505,18.89067,17.568436,800.7372,PSO J058.3369-00.0811,-999,-999,-999,107900583368783112,3510245000035690,365853904243564,0,9453861134197,10790,1,1247,99,0.85762364497187,3510245,85182,3,503635968,60,58.33688511,-0.0811043,0.0010000000474974513,0.0010000000474974513,58.336907879478225,-0.08114665279589446,0.0008466194267384708,0.0008403881802223623,56376.39713820683,8.117152214050293,0.5249229537310862,0.8511485691752675,-0.0014162757947908313,56.07222052371225,-19.86876363813292,188.8625884498836,-38.6598848226947,,5,97,15,22,28,16,16,0.9995930194854736,19.01300048828125,0.01445700041949749,0.03251099959015846,15,18.95669937133789,19.061399459838867,19.06599998474121,0.021976999938488007,0.05743600055575371,15,18.99650001525879,0.023812999948859215,0.059950001537799835,15,115000,0.9997460246086121,18.303600311279297,0.0032279998995363712,0.017683999612927437,21,18.260900497436523,18.332300186157227,18.40369987487793,0.007046000100672245,0.028596000745892525,21,18.303499221801758,0.005816000048071146,0.027101999148726463,21,115000,0.9997069835662842,17.94969940185547,0.00215300009585917,0.013225999660789967,25,17.923900604248047,17.97260093688965,18.030099868774414,0.004286999814212322,0.026102999225258827,28,17.95199966430664,0.003656999906525016,0.018919000402092934,28,115000,0.9996280074119568,17.751699447631836,0.008185000158846378,0.03800100088119507,14,17.660400390625,17.809799194335938,17.823400497436523,0.01387799996882677,0.04802500084042549,14,17.739299774169922,0.007961000315845013,0.04800499975681305,14,115000,0.9994999766349792,17.643299102783203,0.007915000431239605,0.042872000485658646,16,17.560100555419922,17.746700286865234,17.77910041809082,0.01233499962836504,0.04727499932050705,16,17.673099517822266,0.011785999871790409,0.06535899639129639,16,115000,0.06673969955655604,19.01300048828125,0.01445700041949749,18.303600311279297,0.0032279998995363712,17.94969940185547,0.00215300009585917
3257403424643429760,58.348149987642195,-0.06752164818148297,19.537203,20.208408,18.803446,370.02216,PSO J058.3481-00.0675,-999,-999,-999,107910583481329472,3510245000037444,365853904245318,0,9453995182548,10791,1,1247,99,0.0952387229495111,3510245,85182,3,436527232,52,58.3481206,-0.06746689,0.0010000000474974513,0.0010000000474974513,58.348146535482925,-0.06751191420135202,0.0021759632509201765,0.0021989154629409313,56367.797748807774,6.376867771148682,0.5247561515236162,0.8512517800484484,-0.001178304914477098,56.08708959590092,-19.85796978178818,188.85679593932153,-38.6428082905481,,5,90,13,23,20,16,18,0.9997069835662842,20.300199508666992,0.014829999767243862,0.03382499888539314,12,20.250699996948242,20.367000579833984,20.384899139404297,0.04689300060272217,0.10644800215959549,12,20.300100326538086,0.024217000231146812,0.08394400030374527,12,115000,0.9995359778404236,19.531099319458008,0.00955899991095066,0.04426199942827225,21,19.43600082397461,19.63129997253418,19.649700164794922,0.019627999514341354,0.0868310034275055,21,19.526399612426758,0.024829000234603882,0.10066699981689453,21,115000,0.9993339776992798,19.19029998779297,0.006331999786198139,0.030087999999523163,20,19.122299194335938,19.23150062561035,19.29560089111328,0.01281800027936697,0.06513900309801102,20,19.20400047302246,0.010689999908208847,0.04615899920463562,20,115000,0.9996449947357178,18.975500106811523,0.014155000448226929,0.04473499953746796,15,18.877599716186523,19.047300338745117,19.09510040283203,0.030806999653577805,0.131413996219635,16,19.0044002532959,0.028161000460386276,0.11714299768209457,16,115000,0.999085009098053,18.86050033569336,0.01728699915111065,0.10442599654197693,16,18.74720001220703,19.095800399780273,19.047300338745117,0.05857200175523758,0.20705899596214294,16,18.98040008544922,0.03869500011205673,0.22173500061035156,16,115000,0.05398840281880982,20.300199508666992,0.014829999767243862,19.531099319458008,0.00955899991095066,19.19029998779297,0.006331999786198139
